31,가공 망상, 터무니 없는 상상(想像). 근거 없는 망녕된 생각.
32,가공, 두려워할 만함. 몸서리칠 만함.
33,가관, <제>관례(冠澧)를 행하고 갓을 쓰던 일.
34,가관, ①볼 만함. ②비웃을 만함. ¶꼴이 가관이다.
35,가괴, 괴상하게 여길 만함.
36,가교, 다리를 놓음.
37,가교, 임시로 놓은 다리.
38,가교," ①임금이 타는, 특별히 차린 가마. ②쌍가마."
39,가구, ①거리.(street) ②시정(市井).
40,가국, 좋은 국면(局面).
41,가국, ①자기의 집안과 나라. ②고국(故國).가방(家邦).(fatherland)
42,가군, = 가부(家父).
43,가권, ①호주나 세대주에게 딸린 식구.(family) ②남에게 대하여 '자기의 아내'를 겸손하게 이르는 말.
44,가권, 집문서.
45,가권, 집안을 통솔하는 권리.
46,까뀌, 나무를 외손으로 찍어 깎는 데 쓰는 연장.
47,가귀, 잘 지은 글귀.
48,가규, 한 집안의 규율. 
49,까끄라기," 벼, 보리 따위의 낟알 겉껍질에 붙은 수염 동강. < 꺼끄러기. (준)까라기, 까락."
50,가극, 여가. 틈. 겨를.
51,가금," 집에서 기르는 새, 닭, 오리 따위."
52,가금, 값.
53,가급, 품삯 따위의 정한 액수를 올려서 더 줌. <-> 감급(減給).
54,가급 인족, 집집마다 넉넉하고 생활이 풍족함.
55,가급적, 되도록. 될 수 있는 대로. ¶가급적 빨리 돌아오라.
56,가긍, 가련함. 불쌍하고 가엾음.(pitifulness)
57,가기, ①좋은 계절. ②사랑을 처음 맺게 된 시기. ③시집갈 시기.
58,가기, 자연의 상서롭고 좋은 기운. ¶가기 서린 지리산. (유)서기(瑞氣).
59,가납사니, 쓸데 없는 말을 지껄이기 좋아하는 사람.(chatterbox)
60,가납사니같다, 쓸데 없이 되지 않은 소리를 자꾸 지껄이다.
61,가년, 나이를 몇 살 속여 올림.
62,가년스럽다, 몹시 궁상스러워 보이다.(shabby) < 거년스럽다.
63,가담, 아무 데서나 함부로 논의되는 말. 가설(街說). 
64,가담 항설, 거리나 항간에 떠도는 소문. 풍설(風說). 가담 항의(-巷議).(gossip)
65,가당, ①사리에 맞을 만함. ¶가당한 말. ②해낼 수 있음.
66,가당찮다, ①도무지 사리에 맞지 않다. ②섣불리 당할 수 없게 대단하다. 
67,가당찮이, 가당찮게.
68,가댁질, 서로 피하고 잡고 하며 노는 아이들의 장난.
69,가량스럽다, 아담하지 않아 격에 맞지 않다.(unbecoming) < 거령스럽다.
70,가량가량하다, 얼굴이나 몸이 야윈 듯하면서도 탄탄하고 부드럽다.
71,가력되다, 덮이어 묻히다.(get buried)  ¶큰물에 논이 가력되다. 
72,가련하다, ①딱하게 불쌍하다.(miserable) ②애틋하게 동정심이 가다.(pitiful)
73,가렴, 혹독하게 징수함.(extorting) 
74,가렴 주구, 세금 같은 것을 가혹하게 받고 물건을 강제로 청구하여 국민을 못 살게 구는 일.
75,가론, 이른바.
76,가료, 병을 치료함.
77,가르랑거리다, 목구멍에 가래가 걸려 숨쉬는 대로 소리가 나다. < 그르렁거리다.
78,가르친 사위, 남이 시키는 대로밖에 못하는 사람을 농으로 이르는 말.
79,가리, 곡식이나 땔나무 따위를 차곡차곡 쌓아 둔 큰 더미.(heap)
80,가리사니, ①지각(知覺). ②사물을 판단할 수 있는 힘이나 실마리.(clue)
81,가리산지리산, 갈피를 잡지 못하여 갈팡질팡하는 모습.
82,가린스럽다, 눈에 거슬리게 인색하다.(stingy)
83,가린주머니, 인색한 사람.(miser)
84,가림색, 보호색.
85,가마리," 욕먹기, 매맞기, 걱정 따위를 늘 당하는 사람. ¶욕가마리"
86,가만하다, 움직임이 매우 조용하여 그다지 드러나지 아니하다.
87,가말다, 일을 맡아 마음대로 처리하다.(manage)
88,가망, 될 만한 희망.(possibility)
89,가멸다, 재산이 풍부하다. 넉넉하다.(rich)
90,가명, ①아름다운 이름. ②좋은 평판.
91,가모, ①남 앞에서 자기 어머니를 일컫는 말. ②한 집안의 주부.(housewife)
92,가모, 임금에게 전하는 좋은 계책.
93,가문, 아름다운 문장. 잘 지은 글.
94,가뭇없다, ①없어져 감감하다. ②소식이 없다. ③흔적이 없다.
95,가방, ①집안과 나라 ②고향.
96,가부득감부득, 더할 수도 덜 할 수도 없음. 가감부득.
97,가분가분, 말이나 행동이 삼가는 데가 없이 가벼운 모양.(carelessly)
98,가불가, 옳음과 그름.(right and wrong)
99,가사, 아름다운 글. 좋은 말.
100,가사성있다, 능란하다. 일을 잘 보다.
101,가살, 언행이 얄망궂고 되바라진 태도.(impertinence)
102,가살떨다, 얄궂게 가살부리다.
103,가석하다, 애틋하게 아깝다.(regrettable)
104,가스러지다, ①성질이 온순하지 못하고 거칠어지다. ②잔털이 거칠게 일어나다.(bristle) < 거스러지다.
105,가슬가슬, ①성질이 수월하지 않고 까다로운 모양. ②살결이 거친 모양. < 거슬거슬.
106,가외, 일정한 표준이나 한도의 밖.
107,가외 사람, 필요 밖의 사람.
108,가욋일, 필요 밖의 일.
109,가외, 두려워할 만함. 무서움.
110,가용, ①집에서 필요하여 씀. ②집안의 씀씀이.
111,가용, 잘 녹을 수 있음.(solubility)
112,가용물, 액체에 잘 녹는 물질.
113,가용, 금속이 비교적 낮은 온도에서도 잘 녹음.(fusible) ¶가용성.
114,가용 인구, 어떤 곳에 수용할 수 있는 인구의 총수.
115,가웃," 되, 말, 자의 수를 셀 때 남는 반분(半分). ¶다섯 되 가웃."
116,가재, 집의 재물 또는 재산.(family property)
117,가재 도구," 집안의 재물로 될만한 물건. 이부자리, 옷, 살림살이의 세간 등."
118,가재기, 튼튼하지 못하게 만든 물건.
119,가재치다, 샀던 물건을 도로 무르다.(return a purchase to)
120,가전, 집안에 대대로 전해 내려 옴. 또는 그 물건.
121,가전 비방, 비밀히 그 집안에만 대대로 전하여 내려오는 약의 처방.
122,가전, 웃돈.
123,가전, 값.
124,가전, 경사스러운 의례.
125,가전, ①임금의 행차 앞. ②임금의 행차 앞에 서는 시위병.
126,가전성, <물>= 전성(展性).
127,가전체, <문>사물을 의인화하여 전기(傳記) 체제로 적은 글.
128,가전체 소설, <문>가전체로 쓴 소설.
129,가절, ①값을 깎음. ②값을 작정함.
130,가절, 좋은 때. 좋은 시절. ¶중추 가절.
131,가점, ①글이나 또는 글자에 점을 더하여 찍음. ②한문에 훈점(訓點)을 찍음.
132,가정, ①임시로 정함.(supposition) ②사실이 아니거나 또는 사실인지 아닌지를 아직 모르는 것을 사실인 것처럼 인정함. ③= 가설(假說).
133,가정부, <정>실제로 권력을 잡지 못했거나 국제적으로 인정받지 못한 정부. 임시 정부.(provisional government)
134,가제, 남 앞에서 제 아우를 일컫는 말.(my younger brother) <-> 가형(家兄).
135,가제, 노래의 제목.(title of a song)
136,가제," ①보탬과 뺌.(adding and subtracting) ②<수>가법(加法)과 제법(除法). ③원고를 검토하여 삭제, 생략, 보충, 정정(訂正)하는 일."
137,가제식, 공책이나 장부 등의 용지를 필요 없게 된 것은 빼고 새로운 것은 보탤 수 있게 할 수 있는 방식.
138,가제, 임시로 대강 만듦.
139,가조, 좋은 징조.(good omen)
140,가조, 경사스러운 징조.
141,가조, 거짓을 진짜처럼 만듦. 위작(僞作). 위조(僞造).
142,가존, ①'남의 아버지'를 높이어 이르는 말. ②남에게 대하여 자기의 '아버지'를 높이어 이르는 말.(글에서 쓰이는 말)
143,가즈럽다, 갖은 체하여 뻐기는 태도가 있다.
144,가친, 남에게 대하여 자기 아버지를 일컫는 말. 가부(家父). 가엄(家嚴).
145,가탁, ①다른 사실로써 핑계함. 또는 그 핑계.(pretence) ②다른 사실을 비교로 하여 말함.(pretext)
146,가탄, 탄식할 만함.(lamentableness)
147,가토, ①초목이 쓰러지지 않도록 뿌리가 묻힌 곳에 흙을 북돋아 줌. 또는 그 흙.②무덤에 흙을 더 얹음. 또는 그 흙.
148,가편, 채찍질하여 걸음을 더 재촉함.(whipping)
149,가편, 잘 된 문학 작품.(good piece)
150,가필, 붓을 대어 글씨를 고치거나 글을 첨삭(添削)함.(retouching)
151,가향, 자기 집이 있는 고향.
152,각근, 부지런히 힘씀.(diligence)
153,각근 면려, 충심으로 부지런히 힘써 일함.(industriousness)
154,각다분하다, 일을 하여 나가기가 매우 고되고 힘들다.
155,각단, 사물의 갈피와 실마리.(clue)
156,각설, 말머리를 돌릴 때 첫머리에 쓰이는 말.(now let us proceed)
157,각하, 시각이 급한 이 때.
158,깎은 서방님, 말쑥하게 차린 청년.
159,깎은 선비, 말쑥하고 얌전한 선비.
160,깐깐오월, 음력 오월은 끈덕지게도 지리하게 지나간다는 말.(tedious May)
161,간과, ①대강 보아 넘기다가 빠뜨림.(overlooking) ②깊이 관심을 두지 아니하고예사로 내버려 둠.
162,간난, ①몹시 어렵고 곤란함. ②가난.
163,간난 신고, 몹시 어려운 고생. 
164,간단, ①잠깐 동안의 끊임.(pause) ②틈. 쉴 사이.(leisure)
165,간단없다, 끊임없다.
166,간담, 정답게 이야기함.(familiar talk)
167,간담, ①간과 쓸개.(liver and gall) ②속 마음. 진실한 마음.
168,간담 상조, 서로 마음을 터놓고 진심으로 사귐.
169,간대로, 그리 쉽게는. ¶간대로 지지는 않겠지.
170,간정되다, 소란하던 것이 진정(鎭靜)되다.
171,간종그리다, 흐트러진 물건을 가닥가닥 골라서 가지런하게 하다. < 건중그리다. (준)간종 이다. (부)간종간종.
172,간종이다, 간종그리다(준말).
173,간주, 그러한 듯이 보아 둠. 그렇다고 침. 
174,간지, 간사한 지혜.
175,간지, 간하여 말림.
176,간지다, 붙은 데가 가늘어 끊어질 듯하다.
177,깐지다, 성질이 깐깐하고 다라지다.(meticulous)
178,간특, 간사하고 마음 속이 악함.(wickedness)
179,간파, 보아서 속을 확실히 알아 냄.(penetration)
180,간포, 간행(刊行)하여 널리 폄.(publication)
181,간품, 물건의 품질을 간색(看色)함.(sampling)
182,간핍, 아주 빈곤함.
183,간하다, ①생선을 소금에 절이다. ②맛을 내기 위하여 음식에 간을 치다.
184,간하다, 속으로 생각하는 것과는 다르게 겉으로는 정성이 있는 듯이 능갈치다.
185,간하다, 웃사람에게 잘못한 일을 고치도록 말하다.(remonstrate)
186,간행, 책 따위 도서를 인쇄하여 세상에 널리 폄. 인행(印行).(publication)
187,간행, 간사한 행동.
188,간헐, 일정한 시간을 두고 쉬었다 일어났다 함.
189,간험, 간악하고 음험함.
190,간협, 간특한 무뢰한(無賴漢).
191,간활, 간사하고 교활함.
192,간휼, 간악하고 음침함.
193,간흉, 간악하고 음흉함.
194,간힐, 간사하고 약음.
195,간힘, 괴로움을 억지로 참아 이겨 내려고 쓰는 힘.
196,간힘 쓰다, 간힘을 쓰다.
197,간힘 주다, 괴로움을 참고 힘을 모아 아랫배를 내밀다.
198,갈가위, 인색하게 안달을 하여 제 실속만 탐하는 사람.(miser)
199,갈갈, 몹시 얌치 없이 갈근거리는 모양. < 걸걸. (자)갈갈거리다.
200,깔깔, 되바라진 목소리로 웃는 소리. < 껄껄. (자)깔깔거리다.
201,깔깔웃다, 깔깔 소리를 내며 웃다. < 껄껄웃다.
202,갈갈이, <농>가을갈이(준말).
203,깔깔하다, ①물건이나 성미가 보드랍지 못하다. < 껄껄하다. ②마음이 곧고 바르다.(upright) < 끌끌하다.
204,갈강거리다, 갈그랑거리다(준말).
205,갈걍갈걍하다, 얼굴과 몸이 단단하고 가량가량하다.
206,갈걷이, <농>가을걷이(준말).
207,갈겨먹다, 남의 것을 가로채서 먹다.
208,갈골, 몹시 바쁘게 골몰함.
209,갈구, 몹시 애써서 구함.
210,갈그랑거리다, 거칠게 자꾸 가르랑거리다.(gurgle) < 글그렁거리다. (준)갈강거리다. (부)갈그랑갈그랑. 
211,깔끄럽다, ①까끄라기 같은 것이 몸에 붙어서 자꾸 따끔따끔하다. ②깔깔하여 미끄럽지 않다.(rough) < 껄끄럽다.
212,갈근거리다, ①무엇이나 함부로 얻어 먹으려고 탐내다.(covet) ②목구멍에 가래가 붙어서 간질간질하다. < 걸근거리다. (부)갈근갈근.
213,깔끔거리다, 깔끄럽고 따끔거리다. < 껄끔거리다. (부)깔끔깔끔.
214,깔끔하다, 깨끗하고 매끈하다. < 끌끔하다.
215,갈급, 몹시 급함.
216,갈력, 있는 힘을 다함.(exertion)
217,갈마들다, 서로 서로 번갈아들다.
218,갈마들이다, 갈마들게 하다.
219,갈마바람, 서남풍(뱃사람 말).
220,갈마보다, 번갈아 보다.
221,갈망, 일을 능히 하여 냄.
222,갈망, 목마른 듯이 간절히 바람.
223,갈매, 짙은 초록빛.(Chinese green)
224,갈무리, ①물건을 잘 가다듬어 간수함. ②일의 끝맺음.
225,갈민대우," 목마른 백성이 비 오기를 기다림. 곧, 가물 때 농민들이 몹시 비를 기다림을 이르는 말."
226,깔밋잖다, 깔밋하지 아니하다(준말).
227,깔밋하다, 간단하고 깨끗하다.(simple and neat)
228,갈바람, 서풍(뱃사람 말).
229,갈쌍하다, 눈물이 눈 가에 흘러 넘칠 듯하다. < 글썽하다. (부)갈쌍갈쌍.
230,갈서다, 나란히 서다.
231,갈신들리다, 굶주리어 음식의 탐이 몹시 나다.(be famished) < 걸신들리다.
232,갈씬하다, 겨우 조금 닿고 말다. < 걸씬하다. (부)갈씬갈씬. (자)갈씬거리다.
233,갈앉다, 가라앉다(준말).
234,갈앙, ①목마르게 동경하고 사모함. ②<불>깊이 불도를 숭상하는 일.
235,갈애, ①몹시 사랑함. 몹시 좋아함. ②<불>범부(凡夫)가 목마르게 오욕(五慾)에 애착하는 일.
236,갈음, 같은 것으로 서로 바꾸어 대신함.
237,깜냥, 지니고 있는 힘의 정도. ¶제 깜냥으로는 잘 했다.
238,깜냥깜냥이, 저마다의 깜냥대로. ¶깜냥깜냥이 제법 했다.
239,감념, 느끼는 생각. 
240,감때사납다, 몹시 감사납다.(fierce)
241,강구, 좋은 방법을 궁리함.(consideration)
242,강권, 강제로 권함.
243,깡그리, 하나도 빼지 않고 모조리.
244,깡그리다, 일을 걷잡아 끝을 마무르다.(finish)
245,강기, 굳센 기상.
246,강기, 오래도록 뚜렷이 지니는 기억. 좋은 기억력.(good memory)
247,강기, ①모든 일의 끝갈망.(principle) ②나라를 다스리는 정치.(administration)③정부 공무원의 기율(紀律)과 도덕. 관기(官紀).(public order)
248,강기 숙정, 공무원의 부정을 없애고 강기를 바르게 하여 엄정한 정치를 행하게 함.(enforcement of official discipline)
249,강녕, 몸이 건강하고 마음이 편안함.
250,강다짐, ①밥을 국이나 물에 말지 않고 먹음. ②보수(報酬)를 주지 않고 억지로 남을 부림.③덮어놓고 억누르고 꾸짖음.
251,강단, 딱 잘라서 일을 결정하는 힘.
252,강단지다, 강단성이 있다.
253,개연, ①고립(孤立)한 모양. ②굳게 지켜서 변하지 않음. ③작은 모양.(trifleness)
254,개연," 연극, 연설 따위를 시작함.(raising the curtain)"
255,개연, 분개하는 모양.(indignation)
256,개연, 확실하지 못하나 그럴 것 같음.(probability) <-> 필연(必然).
257,개연량, 어떤 현상의 발생에 관한 확실성의 정도.(probability)
258,개연론, <철>회의론(懷疑論)의 한 가지. 철학상의 문제를 개연적인 해결로 만족하 려는 입장.(probabilism)
259,개연성, <논>현상의 발생이나 지식에 관한 확실성의 정도.(probability)
260,개연율, <수> = 확률(確率).
261,개연적 판단, <논>주(主)개념과 빈(賓)개념의 결합 또는 분리 관계가 가능한 판단. 's는 p일 것이다'로 표현.
262,개열," ①벌어져 터짐. ②쇠비름, 봉숭아 따위의 열매가 익어서, 과피(果皮)가 터져 종자가 흩어지는 일."
263,개열과," <식>나팔꽃, 평지 따위와 같이 성숙하면 과피(果皮)가 터져 튀어 나오는 열매."
264,개염, 시새워서 탐내는 욕심.(covetousness) < 게염.
265,개염나다, 개염스러운 마음이 나다.(get covetous)
266,개염내다, 개염스러운 마음을 내다.
267,개염부리다, 개염스러운 짓을 하다.
268,개영역, 묏자리를 만들기 위하여 산을 파헤침.
269,개오, <불>깨달아 앎. 진리를 깨달음. 해오(解悟). 오입(悟入).
270,개오, 이전의 잘못을 뉘우쳐 깨달음. 개전(改悛).(repentance)
271,개요, 대강의 요점.(synopsis) (유)개략(槪略). 대략(大略).
272,개요도, 구조의 개요를 표시하는 도면.
273,개운, 운수가 터짐. 행운으로 향함.
274,개운하다, 기분이 산뜻하고 시원하다.
275,개울, 골짜기나 들에서 흘러내리는 작은 물줄기.(brook)
276,개자하다, 사람의 생김생김이 깨끗하고 단정하다.
277,개작, 고쳐 다시 지음. 또는 그 고쳐 지은 것.(adaptation)
278,깨작거리다1, 깨지락거리다(준말).
279,깨작거리다2, 글씨를 아무렇게나 갈겨 쓰다.(scribble) < 끼적거리다. (부)깨작깨작.
280,개잠, 개처럼 머리와 팔다리를 오그리고 자는 잠.
281,개잠, 아침에 깨었다가 다시 든 잠.
282,개잠 들다, 아침에 깨었다가 다시 잠이 들다.
283,개잠 자다, 아침에 깨었다가 다시 자다.
284,개재, 사이에 끼어 들어 있음.(interposition)
285,개전, 전의 잘못을 뉘우쳐 마음을 바르게 고침.(repentance)
286,개절, 알맞고 적절함.
287,개차반," '똥'이라는 뜻으로, 행동이나 마음보가 아주 더러운 사람을 욕으로 이르는 말."
288,개화, 꽃이 핌.(blooming)
289,개화, 惡을 고치고 善을 좇음.(reformation)
290,개활, ①앞이 넓게 트임. ②마음이 넓고 원만함.
291,개활지, 앞이 넓게 트인 땅.
292,개황, 황무지를 개척함.
293,개황, 대략의 상황.
294,개회, = 회개(悔改).
295,개획, ①이미 그린 그림을 다시 고침. ②글씨의 획에 군붓질을 함. -> 개칠.
296,객고, 객지에서 당하는 고생. 나그네로서의 고생.
297,객관, = 객사(客舍).
298,객금, 손님의 소용으로 만들어 둔 이부자리.
299,객기, 객적게 부리는 혈기나 용기.
300,객년, 지난해.
301,객담, 그 일에 직접 필요 없는 이야기.(idle talk)
302,객담, 담을 뱉음. 각담(각痰).
303,객동, 지난 겨울.
304,객례, 손을 대하는 예의.
305,객로, = 여로(旅路).
306,객론, 쓸데 없는 말을 함. 또는 그 말.
307,객몽, 객지에서 꾸는 꿈.
308,객미, 객지에서 고생하는 맛.
309,객반위주, = 주객 전도(主客顚倒).
310,객방, 손이 유숙하는 방.
311,객비, ①객적은 비용. ②객지에서 드는 비용.
312,객사, 객지에서 느끼는 생각.
313,객사, ①객지에서 기거하는 집. 객관(客館). ②<제>딴 곳에서 온 관원을 대접하여 묵게 하던 집.
314,객사, 타관에서 죽음.
315,객설, 객적은 말. 군소리.
316,객세, = 작년(昨年).
317,객소리, 쓸데 없는 소리. 실없는 소리.
318,깩소리, 작은 반항의 소리. < 끽소리. ¶만나면 깩소리도 못한다. 
319,객수, ①딴 데서 들어와 섞인 물. ②필요하지 않을 때에 오는 비. ③식사 때 외에더 먹는 물.
320,객수, 객지에서 느끼는 시름. 여수(旅愁).(nostalgia)
321,객숟가락, ①손님을 대접하기 위하여 갖추어 둔 숟가락. ②밥을 빼앗아 먹으려고 들여 미는 남의 숟가락. (준)객술.
322,객술, 객숟가락(준말).
323,객스럽다, 필요하지 아니하여 객적게 보이다.
324,객식구, 본 식구 이외에 집에서 묵고 있는 딴 식구. 군식구.
325,객실, 손님을 있게 하거나 접대하는 방.
326,객심, ①객지에서 느끼는 마음. ②딴 마음.
327,객심먹다, 딴 마음을 먹다.
328,객심스럽다, 몹시 객적어 보이다.
329,객아, <철>의식하는 자아의 대상이 되는 객관적인 자기. <-> 자아(自我).
330,객열, 객증(客症)으로 나는 신열(身熱).
331,객요, 손님의 출입이 많아 분주히 지내는 일.
332,객월, 지난 달. 먼젓달.
333,객유, 손이 되어서 타향에서 놂.
334,객의, = 객회(客懷).
335,객장, 여행하기 위한 몸차림.
336,객적다, 필요한 범위를 벗어나 쓸모 없고 싱겁다.
337,객정, = 객회(客懷).
338,객정, = 여정(旅程).
339,객증, 본디 있던 병 외에 따로 생긴 병.
340,객지, ①제 집을 떠나 임시로 가 있는 곳. 타향(他鄕). 객향(客鄕). 한창(寒窓).(strange land) ②외국.(foreign land)
341,객차, 손님을 태우는 열차. <-> 화물차(貨物車).
342,객창, 나그네가 거처하는 방. 여창(旅窓).
343,객창 한등, 객창에 비치는 쓸쓸한 등불.
344,객체, ①객지에 있는 몸. 여체(旅體). ②<법>의사나 행위의 목적물.(object) <-> 주체(主體). ③<철>=객관.
345,객추, 지난 가을.
346,객춘, 지난 봄.
347,객출, 뱉어 냄. 각출(각出).
348,객하, 지난 여름.
349,객한, = 객수(客愁).
350,객향, = 객지(客地).
351,객혈, <의>폐병 따위로 인하여 피를 토함. 각혈(각血). 
352,객화, 병중에 나는 울화. 병중에 생긴 화기.
353,객황, 객지에 있는 형편. 여황(旅況).
354,객회, 외로운 객지에서 일어나는 쓸쓸한 회포. 객정(客情). 회정(懷情).
355,깰깩거리다, 숨이 막혀 목구멍이 꽉 찼다가 터지면서 깰깩 소리를 자꾸 내다. < 껄꺽거리다(부)깰깩깰깩.
356,깰깰, 목구멍 속에서 드러나지 않게 웃는 소리. < 껄껄. (자)깰깰거리다.
357,갤러리, 관람석. 방청석. 그림을 진열하는 화랑(畵廊).
358,갤러빠지다, 개을러빠지다(준말).
359,갤르다, 개으르다(준말).
360,갭, ①갈라진 금. ③깨어진 틈. ③척릉(脊稜)이 깊이 잘라져 들어 간 곳.
361,갭직하다, 좀 가볍다.
362,갯가, 바닷물이 드나드는 개의 가. 포변(浦邊).
363,갯값, 형편없이 헐한 값. 똥값.
364,갱년기, <생>인체(人體)가 노년기(老年期)로 접어드는 시기. 보통 42~50세. 신체 작용에 여러 가지 변조(變調)를 가져옴.(menopause)
365,갱신," (주로 '하다', '못 하다', '없다' 등과 함께 쓰이어) 몸을 움직이는 일."
366,갱신, 다시 새로와짐. 새롭게 고침.(renewal) ¶계약을 갱신하다. x 경신(更新).
367,갸기, 몹시 얄밉게 뽐내는 교만한 태도. < 교기(驕氣).
368,갸기부리다, 일부러 뽐내며 교만한 태도를 가지다.
369,꺄룩, 끼웃거리거나 목구멍에 걸린 것을 삼키려고 할 때 목을 앞으로 쑥 내미는 모양. < 끼룩. (부)꺄룩꺄룩. (타)꺄룩거리다.
370,갸륵하다, 하는 일이 훌륭하고 뛰어나다.
371,갸름하다, 좀 긴 듯하다. < 기름하다. (형)갸름갸름하다.
372,갹출, 돈이나 물건을 추렴하여 냄. ¶비용을 갹출하다. 
373,거간, ①물건의 매매를 붙이는 일.(brokerage) ②거간군(준말).
374,거간군, 거간을 업으로 삼는 사람. 우다위. 아쾨. 중매인.(broker)
375,거개, 거의 전부. ¶거개가 내 것. (부)거의 다.(mostly) ¶거개 다 먹었다.
376,거년스럽다, 몹시 궁상스러워 보이다.(shabby) > 가년스럽다.
377,거령스럽다, 아담하지 않아 격에 맞지 않다. > 가량스럽다.
378,거미 치밀다, 게염스러운 욕심이 목구멍에 치밀어 오르다.
379,거스러미, 손톱 뒤의 살 껍질이나 나무의 결 같은 것이 터져 일어나서 가시처럼 된 부분.
380,거스러지다, ①성질이 온순하지 못하고 거칠어지다 ②잔털이 거칠게 일어나다 > 가스러지다
381,거스르다, ①반대되는 길을 잡다. ②거스름돈을 내어 주다.
382,거슬거슬, ①성질이 곱지 아니하고 거친 모양.(rough) ②살결이 땀기가 없어 미끄럽지 않은 모양. > 가슬가슬.
383,거슬리다, ①거스른 상태에 있다. ②거스름돈을 내게 하다.
384,거슴츠레하다, 눈에 정기가 풀리며 흐리멍덩하다.(drowsy) > 가슴츠레하다. X 게슴츠레하다
385,거족, 온 민족.
386,거족적, 한 겨레가 다 참가하거나 관계되는 (것).
387,거추없다," 어울리지 않게, 하는 짓이 싱겁다. (부)거추없이."
388,거추하다, 보살펴 거두다. 도와서 주선하다.(care for)
389,거춤거춤, 대충. 대강.
390,거푼거리다, 바람에 날려 가볍게 번득이다.(flap) (부)거푼거푼.
391,거풀거리다, 물체의 일부분이 바람에 날려 자꾸 움직이다.(flutter) (부)거풀거풀.
392,거풋거리다, 한 부분이 가볍게 거풀거리다.(flutter) (부)거풋거풋.
393,꺽꺽하다," 성질, 품질이 억세어서 부드러운 맛이 없다.(rough)"
394,꺽둑거리다, 고르지 않게 대중 없이 마구 썰다. > 깍둑거리다. (부)꺽둑꺽둑.
395,걱실거리다, 성질이 너그럽고 쾌활하게 행동하다. (부)걱실걱실.
396,꺽죽거리다, 전체 몸을 흔들며 떠들다. (부)꺽죽꺽죽.
397,꺽지다, 억세고 용감하다.
398,건망, 바빠서 미처 낯도 씻지 못하고 망건을 씀.
399,건망, 한 번 듣거나 본 것을 잘 잊어버림.(forgetfulness)
400,건망가, 건망증이 심한 사람.
401,건망증, 잘 잊어버리는 병증.(amnesia)
402,건몸달다, 남이 아랑 곳도 하지 않는데 공연히 혼자 애쓰다.
403,건물, 제물로 나오는 정액(精液).
404,건물, 이유도 모르고 공연히 함을 이르는 말. 겉물.(blind activity)
405,건물로, ①쓸데 없이 공연히.(vainly) ②힘 안 들이고.(easily)
406,건밤, 조금도 자지 않고 뜬눈으로 새운 밤.
407,건밤 새다, 조금도 자지 않고 밤을 새우다.
408,건백, 웃사람에게 의견을 드림. 건언(建言).
409,건백서, 건백의 사유를 적은 글.
410,건승, 좋은 건강 상태.
411,건으로, ①그저 터무니 없이.(for no reason) ②공연히. ③건깡깡이로.
412,건잠머리, 일을 시킬 때 일의 대강을 가르쳐 주고 또 필요한 기구를 준비하여 주는 일.
